word,val
abandon,1
abandoned,1
abandonment,1
abduction,1
abortion,1
abortive,1
abscess,1
absence,1
absent,1
absentee,1
abuse,1
abysmal,1
abyss,1
accident,1
accursed,1
ache,1
aching,1
adder,1
adrift,1
adultery,1
adverse,1
adversity,1
afflict,1
affliction,1
affront,1
aftermath,1
aggravating,1
agony,1
ail,1
ailing,1
alcoholism,1
alienated,1
alienation,1
anathema,1
anchorage,1
anguish,1
animosity,1
annihilated,1
annihilation,1
annulment,1
anthrax,1
antisocial,1
anxiety,1
apathetic,1
apathy,1
apologize,1
appendicitis,1
arid,1
arraignment,1
arsenic,1
art,1
ashamed,1
ashes,1
assailant,1
assassin,1
assassination,1
atherosclerosis,1
atrocity,1
atrophy,1
attacking,1
attenuation,1
austere,1
autopsy,1
avalanche,1
awful,1
backwater,1
bacteria,1
bad,1
badly,1
bang,1
banish,1
banished,1
banishment,1
bankrupt,1
bankruptcy,1
banshee,1
barren,1
bastard,1
battered,1
battled,1
beating,1
beg,1
beggar,1
belittle,1
bereaved,1
bereavement,1
betray,1
betrayal,1
bier,1
bigoted,1
bitch,1
bitterly,1
bitterness,1
blackness,1
bleak,1
bleeding,1
blemish,1
blight,1
blighted,1
blindly,1
blindness,1
blockade,1
bloodshed,1
bloody,1
blue,1
blues,1
blunder,1
bomb,1
bomber,1
bondage,1
boredom,1
bothering,1
bottom,1
breakup,1
broke,1
broken,1
brute,1
bugaboo,1
bum,1
burdensome,1
burial,1
buried,1
burke,1
bury,1
cadaver,1
cage,1
calamity,1
cancel,1
cancer,1
captive,1
captivity,1
carcass,1
carcinoma,1
cardiomyopathy,1
carnage,1
case,1
casket,1
casualty,1
cataract,1
catastrophe,1
cemetery,1
chagrin,1
chaos,1
chargeable,1
choke,1
cholera,1
chronic,1
closure,1
clouded,1
cloudy,1
cocaine,1
coercion,1
coffin,1
coldness,1
collapse,1
collusion,1
coma,1
comatose,1
commemorate,1
committal,1
communism,1
complain,1
conceal,1
concerned,1
concussion,1
condemnation,1
condescension,1
condolence,1
confession,1
confine,1
confined,1
confinement,1
confiscate,1
conflict,1
consecration,1
console,1
constraint,1
contaminated,1
convict,1
corpse,1
corrupting,1
corse,1
couch,1
coward,1
crash,1
crazy,1
cremation,1
cringe,1
cripple,1
crippled,1
criticism,1
criticize,1
cross,1
crucifixion,1
cruel,1
cruelty,1
crumbling,1
crushed,1
cry,1
crying,1
crypt,1
cumbersome,1
cupping,1
curse,1
cursed,1
cutting,1
cyst,1
cytomegalovirus,1
daemon,1
damage,1
damages,1
damnation,1
danger,1
dark,1
darken,1
darkened,1
darkness,1
dashed,1
deadly,1
death,1
debacle,1
debt,1
decay,1
decayed,1
deceased,1
deceit,1
deceitful,1
deceive,1
decomposed,1
decomposition,1
default,1
defeated,1
defendant,1
defenseless,1
deflate,1
deformed,1
deformity,1
defunct,1
defy,1
degeneracy,1
degrading,1
delay,1
delirious,1
delirium,1
deluge,1
delusion,1
dementia,1
demise,1
demolish,1
demon,1
demonic,1
demonstrative,1
demoralized,1
denied,1
depart,1
departed,1
departure,1
dependence,1
deplorable,1
deplore,1
deport,1
deportation,1
depraved,1
depreciated,1
depress,1
depressed,1
depressing,1
depression,1
depressive,1
deprivation,1
derogation,1
derogatory,1
descent,1
desecration,1
desert,1
deserted,1
desolation,1
despair,1
despairing,1
despotism,1
destination,1
destitute,1
destroyed,1
destroying,1
detainee,1
detention,1
deteriorate,1
deteriorated,1
deterioration,1
devastate,1
devastating,1
devastation,1
deviation,1
devil,1
dictatorship,1
die,1
difficulties,1
difficulty,1
dilapidated,1
diminish,1
dire,1
disability,1
disable,1
disabled,1
disagreeing,1
disagreement,1
disallowed,1
disappoint,1
disappointed,1
disappointing,1
disappointment,1
disapproval,1
disapprove,1
disapproved,1
disapproving,1
disaster,1
disastrous,1
discolored,1
discomfort,1
disconnect,1
disconnected,1
discontent,1
discontinuity,1
discourage,1
discriminate,1
discrimination,1
disease,1
diseased,1
disembodied,1
disfigured,1
disgrace,1
disgraced,1
disgruntled,1
disgust,1
disheartened,1
disheartening,1
dishonest,1
dishonor,1
disillusionment,1
disliked,1
dislocated,1
dismal,1
dismay,1
dismemberment,1
dismissal,1
disparage,1
disparaging,1
disparity,1
dispassionate,1
dispel,1
displaced,1
displeased,1
dispossessed,1
disqualified,1
disqualify,1
disrespectful,1
disservice,1
dissolution,1
distraught,1
distress,1
disturbance,1
disturbed,1
divorce,1
doldrums,1
dole,1
dolor,1
domination,1
doomed,1
doomsday,1
doubt,1
downfall,1
drab,1
dreadful,1
dreadfully,1
dreary,1
drown,1
drugged,1
dull,1
dumps,1
duress,1
dwarfed,1
dying,1
dysentery,1
earthquake,1
elimination,1
emaciated,1
embarrass,1
embarrassment,1
embolism,1
emergency,1
emptiness,1
encumbrance,1
endemic,1
endless,1
endocarditis,1
enmity,1
enslaved,1
entangled,1
epidemic,1
epitaph,1
error,1
eschew,1
esteem,1
euthanasia,1
evanescence,1
evasion,1
evict,1
eviction,1
evil,1
excluded,1
excluding,1
exclusion,1
execution,1
executioner,1
exhausted,1
exhaustion,1
exile,1
exorcism,1
expel,1
expire,1
explode,1
expulsion,1
exterminate,1
extinct,1
failing,1
failure,1
fainting,1
faithless,1
fall,1
falling,1
famine,1
fasting,1
fat,1
fatal,1
fatality,1
fatigued,1
fatty,1
fault,1
fearful,1
fearfully,1
feeble,1
feeling,1
fell,1
feudalism,1
flaccid,1
flaw,1
fleece,1
flinch,1
flog,1
flop,1
flounder,1
forbid,1
foreclose,1
forfeit,1
forfeiture,1
forgotten,1
forlorn,1
forsake,1
forsaken,1
fortress,1
fragile,1
frailty,1
fraught,1
frayed,1
frighten,1
frightful,1
frown,1
frowning,1
fruitless,1
frustrate,1
fugitive,1
funeral,1
funk,1
furrow,1
fury,1
fuss,1
futile,1
gallows,1
geriatric,1
ghetto,1
gloom,1
gloomy,1
glum,1
gonorrhea,1
gore,1
gory,1
grave,1
gray,1
grief,1
grievance,1
grieve,1
grievous,1
grim,1
groan,1
grounded,1
grumpy,1
guillotine,1
guilt,1
guilty,1
gullible,1
haggard,1
halter,1
halting,1
hamstring,1
handicap,1
hanging,1
hardship,1
harmful,1
harry,1
hate,1
hateful,1
hatred,1
haunted,1
hearse,1
heartache,1
heartfelt,1
heartless,1
hell,1
hellish,1
helpless,1
helplessness,1
hemorrhage,1
hermit,1
hideous,1
hindering,1
hoary,1
hoax,1
hobo,1
hollow,1
holocaust,1
homeless,1
homesick,1
homicide,1
honest,1
hopeless,1
hopelessness,1
horrid,1
horrific,1
horrifying,1
horror,1
horrors,1
hospice,1
hospital,1
howl,1
humble,1
humbled,1
humbug,1
humiliate,1
humiliation,1
hunter,1
hurt,1
hurtful,1
hurting,1
hut,1
hydrocephalus,1
hymn,1
idiocy,1
ill,1
illegal,1
illegitimate,1
illness,1
immoral,1
impossible,1
impotence,1
imprisoned,1
imprisonment,1
imprudent,1
inability,1
inadequate,1
inappropriate,1
incarceration,1
incase,1
incest,1
income,1
incompatible,1
incompetent,1
inconsequential,1
inconsiderate,1
inconvenient,1
incrimination,1
incurable,1
indifference,1
indigent,1
inefficiency,1
inefficient,1
ineptitude,1
inequality,1
inexcusable,1
infamy,1
infanticide,1
infectious,1
inferior,1
infertility,1
infidelity,1
inflict,1
infliction,1
inhibit,1
inhospitable,1
inhuman,1
inhumanity,1
inimical,1
injure,1
injured,1
injurious,1
injury,1
insanity,1
insecure,1
insignificant,1
insolvency,1
insolvent,1
insult,1
insulting,1
insurmountable,1
inter,1
intercede,1
interested,1
interment,1
interrupted,1
intervention,1
intolerant,1
invade,1
invader,1
invalid,1
irreconcilable,1
irreparable,1
irritation,1
isolate,1
isolated,1
isolation,1
jail,1
jarring,1
jealousy,1
jurisprudence,1
kennel,1
kidnap,1
kill,1
killing,1
knell,1
labored,1
lace,1
lagging,1
lament,1
lamenting,1
landslide,1
languishing,1
late,1
lawsuit,1
lax,1
leave,1
leprosy,1
lethal,1
lethargy,1
leukemia,1
lie,1
lifeless,1
limited,1
liquor,1
listless,1
litigate,1
lockup,1
lone,1
loneliness,1
lonely,1
lonesome,1
longing,1
lose,1
losing,1
loss,1
lost,1
lovely,1
lower,1
lowest,1
lowly,1
lunacy,1
lush,1
lynch,1
mad,1
malaise,1
malaria,1
malevolent,1
malicious,1
malignancy,1
mangle,1
manslaughter,1
margin,1
martyr,1
martyrdom,1
massacre,1
mausoleum,1
meaningless,1
measles,1
meek,1
melancholic,1
melancholy,1
melodrama,1
meltdown,1
memorials,1
militia,1
miscarriage,1
miserable,1
miserably,1
misery,1
misfortune,1
mishap,1
misrepresentation,1
missing,1
mistake,1
misunderstanding,1
moan,1
mocking,1
molestation,1
monsoon,1
moody,1
morbid,1
morbidity,1
morgue,1
moribund,1
mortality,1
mortification,1
mortuary,1
mother,1
mourn,1
mournful,1
mourning,1
mug,1
murder,1
murderer,1
murderous,1
murky,1
music,1
musical,1
mutilation,1
myopia,1
napkin,1
nasty,1
nauseous,1
necessity,1
nefarious,1
negative,1
neglected,1
negro,1
nepotism,1
nether,1
neuralgia,1
neurosis,1
noncompliance,1
nonsensical,1
noose,1
nothingness,1
numbness,1
nutritious,1
obesity,1
obit,1
obituary,1
obliterate,1
obliteration,1
obnoxious,1
obstacle,1
oddity,1
offended,1
offender,1
offense,1
onerous,1
opera,1
opium,1
oppress,1
oppression,1
oppressive,1
oppressor,1
orchestra,1
orphan,1
oust,1
outburst,1
outcast,1
ovation,1
overdue,1
overload,1
overpriced,1
overwhelmed,1
owing,1
pain,1
pained,1
painful,1
painfully,1
palsy,1
pandemic,1
paralysis,1
pare,1
parting,1
pathetic,1
paucity,1
pauper,1
penal,1
penalty,1
penance,1
pensive,1
perdition,1
peril,1
perilous,1
perish,1
perished,1
perishing,1
pernicious,1
perpetrator,1
perplexity,1
persecution,1
perversion,1
pessimism,1
pessimist,1
pine,1
pious,1
pitfall,1
pity,1
plague,1
plaintive,1
plea,1
plight,1
plunder,1
poaching,1
pointless,1
poison,1
poisoned,1
poisonous,1
polio,1
posthumous,1
poverty,1
powerless,1
precarious,1
priesthood,1
prison,1
prisoner,1
probation,1
problem,1
procession,1
progression,1
prosecute,1
prostitution,1
psychosis,1
punch,1
punished,1
punishing,1
punitive,1
quiet,1
rabid,1
rack,1
rainy,1
rape,1
rating,1
ravenous,1
recession,1
recidivism,1
refugee,1
refused,1
regret,1
regrettable,1
regretted,1
regretting,1
reject,1
rejection,1
rejects,1
relapse,1
relics,1
remiss,1
remorse,1
remove,1
repress,1
reprisal,1
reproach,1
requiem,1
resentment,1
resign,1
resignation,1
resigned,1
resisting,1
restrict,1
restriction,1
retard,1
retirement,1
retribution,1
revoke,1
revolution,1
revolver,1
rheumatism,1
ridicule,1
rob,1
robbery,1
romance,1
rot,1
rubble,1
rue,1
ruin,1
ruined,1
ruinous,1
rumor,1
runaway,1
rupture,1
sabotage,1
sacrifices,1
sadly,1
sadness,1
sanctify,1
sap,1
sarcasm,1
sarcoma,1
savor,1
scar,1
scarce,1
scarcely,1
scarcity,1
schizophrenia,1
scold,1
scourge,1
scrapie,1
secluded,1
sedition,1
segregate,1
senile,1
senseless,1
sentence,1
sepsis,1
sequestration,1
seriousness,1
servile,1
setback,1
severance,1
shack,1
shackle,1
shame,1
shameful,1
shatter,1
shattered,1
shell,1
shipwreck,1
shiver,1
shortage,1
shot,1
shriek,1
shrink,1
shroud,1
shun,1
sick,1
sickening,1
sickly,1
sickness,1
sin,1
sinful,1
sing,1
sinner,1
sisterhood,1
skid,1
slaughter,1
slaughterhouse,1
slaughtering,1
slave,1
slavery,1
slayer,1
sluggish,1
slump,1
slur,1
smite,1
snort,1
sob,1
socialist,1
soldier,1
somber,1
sonnet,1
sordid,1
sore,1
sorely,1
soreness,1
sorrow,1
sorrowful,1
soulless,1
spank,1
specter,1
speculation,1
spinster,1
splitting,1
spoiler,1
sprain,1
squall,1
stab,1
stagnant,1
starvation,1
steal,1
sterile,1
stifled,1
stigma,1
stillborn,1
stillness,1
stingy,1
stint,1
strangle,1
stretcher,1
stricken,1
strip,1
stripped,1
stroke,1
struggle,1
subjected,1
subjugation,1
subsidence,1
subvert,1
sue,1
sufferer,1
suffering,1
suffocating,1
suicidal,1
suicide,1
sullen,1
sunk,1
suppress,1
surgery,1
surrender,1
surrendering,1
sweetheart,1
sympathetic,1
sympathize,1
sympathy,1
syncope,1
taint,1
tarnish,1
taunt,1
tax,1
tearful,1
tease,1
tempest,1
terminal,1
terminate,1
termination,1
terrible,1
terribly,1
terrific,1
terrorism,1
terrorist,1
terrorize,1
theft,1
theocratic,1
thief,1
thirst,1
thrash,1
thresh,1
throb,1
timid,1
tolerate,1
tomb,1
torment,1
torture,1
touchy,1
tough,1
tragedy,1
traitor,1
tramp,1
trash,1
traumatic,1
travesty,1
treachery,1
treat,1
tremor,1
tribulation,1
trickery,1
tripping,1
tumour,1
turmoil,1
tyranny,1
tyrant,1
ugliness,1
ulcer,1
ultimate,1
unable,1
unacceptable,1
unaccountable,1
unacknowledged,1
unattainable,1
unattractive,1
unbearable,1
unbeaten,1
uncaring,1
underpaid,1
undertaker,1
undesirable,1
undesired,1
undying,1
uneasiness,1
uneducated,1
unemployed,1
unequal,1
unexplained,1
unfair,1
unfairness,1
unfavorable,1
unforgiving,1
unfortunate,1
unfriendly,1
unfulfilled,1
ungodly,1
unhappiness,1
unhappy,1
unhealthy,1
unimportant,1
uninspired,1
uninterested,1
uninteresting,1
uninvited,1
unkind,1
unlawful,1
unlucky,1
unpaid,1
unpleasant,1
unpopular,1
unpublished,1
unrequited,1
unrest,1
unsatisfied,1
unseat,1
unsuccessful,1
untitled,1
unwelcome,1
unwell,1
upheaval,1
upset,1
urn,1
vainly,1
vanished,1
varicella,1
veal,1
vegetative,1
vendetta,1
victim,1
victimized,1
violation,1
violence,1
violently,1
vote,1
vulgarity,1
vulnerability,1
waffle,1
wail,1
wallow,1
wan,1
wane,1
wanting,1
warfare,1
warp,1
wasteful,1
wasting,1
weakly,1
wearily,1
weariness,1
weary,1
weeds,1
weep,1
weeping,1
weight,1
whimper,1
whine,1
widow,1
widower,1
wilderness,1
wildfire,1
willful,1
wimpy,1
wince,1
winning,1
witchcraft,1
withdraw,1
wither,1
woe,1
woeful,1
woefully,1
worn,1
worried,1
worry,1
worrying,1
worse,1
worsening,1
worthless,1
wound,1
wrangling,1
wreck,1
wrecked,1
wretch,1
wretched,1
wrinkled,1
wrongdoing,1
wrongful,1
wrongly,1
